"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"23-Jun-2021","EQ","53.55","54.45","52.10","53.20","53.15","53.00","53.26","58.00","31.35",2010953,"107,094,602.65",6967
"22-Jun-2021","EQ","53.90","55.55","52.80","53.35","53.15","53.20","54.09","58.00","31.35",2413407,"130,540,078.95",6943
"21-Jun-2021","EQ","50.20","56.00","49.60","51.90","53.40","53.35","54.06","58.00","31.35",3696762,"199,845,873.95",10310
"18-Jun-2021","EQ","53.00","53.75","49.00","52.55","51.80","51.90","51.28","58.00","31.35",2081078,"106,721,429.65",6799
"17-Jun-2021","EQ","52.95","55.10","52.25","53.85","52.40","52.55","53.59","58.00","31.35",1585946,"84,991,852.85",5856
"16-Jun-2021","EQ","55.70","56.15","52.70","55.00","53.85","53.85","54.37","58.00","31.35",2334668,"126,946,215.20",7073
"15-Jun-2021","EQ","55.40","57.00","54.35","55.45","55.05","55.00","55.57","58.00","31.35",3586160,"199,270,523.05",10971
"14-Jun-2021","EQ","52.20","56.40","48.80","52.40","54.80","55.45","53.51","58.00","31.35",8471166,"453,302,471.10",28440
"11-Jun-2021","EQ","58.00","58.00","51.80","53.50","52.25","52.40","54.27","58.00","28.50",15516969,"842,156,818.40",39739
"10-Jun-2021","EQ","45.05","53.50","44.75","44.60","53.50","53.50","50.42","53.50","28.50",17531903,"883,978,970.95",32771
"09-Jun-2021","EQ","46.30","47.50","44.05","46.30","44.50","44.60","45.80","50.00","28.50",3907272,"178,965,570.35",9764
"08-Jun-2021","EQ","45.80","47.80","43.80","45.55","46.30","46.30","46.39","50.00","28.50",6978342,"323,691,813.85",17492
"07-Jun-2021","EQ","43.50","46.70","43.00","43.50","45.50","45.55","45.11","50.00","28.50",9049497,"408,232,681.15",19460
"04-Jun-2021","EQ","41.05","44.35","40.70","40.70","43.20","43.50","42.84","50.00","23.95",7451298,"319,231,432.50",15371
"03-Jun-2021","EQ","40.60","41.45","40.60","40.55","40.75","40.70","40.98","50.00","23.95",1025758,"42,037,520.10",2745
"02-Jun-2021","EQ","40.55","40.95","40.30","40.45","40.50","40.55","40.61","50.00","23.95",883035,"35,863,616.15",2655
"01-Jun-2021","EQ","40.85","41.50","40.20","40.60","40.45","40.45","40.84","50.00","23.95",1130845,"46,186,279.85",3037
"31-May-2021","EQ","40.70","41.05","40.50","40.85","40.50","40.60","40.73","50.00","23.95",802261,"32,674,913.60",2574
"28-May-2021","EQ","41.10","42.10","40.55","40.90","40.70","40.85","41.46","50.00","23.15",2832706,"117,457,854.55",6373
"27-May-2021","EQ","40.40","41.60","40.00","40.35","41.10","40.90","40.82","50.00","23.15",3269505,"133,456,356.00",6605
"26-May-2021","EQ","39.85","40.95","39.65","39.55","40.35","40.35","40.20","50.00","23.15",2189955,"88,039,653.95",4335
"25-May-2021","EQ","40.00","40.70","39.30","39.90","39.60","39.55","39.95","50.00","23.15",2696870,"107,738,240.25",5647
"24-May-2021","EQ","41.50","41.50","39.75","40.60","40.00","39.90","40.51","50.00","23.15",2588990,"104,881,845.00",5370
"21-May-2021","EQ","42.05","42.75","40.05","41.75","40.60","40.60","41.52","50.00","23.15",1999921,"83,033,433.55",6157
"20-May-2021","EQ","41.85","43.35","41.25","41.45","41.65","41.75","42.49","50.00","23.15",7805490,"331,625,802.30",15283
